Date,Close points,Open points,Maximum points,Minimum Points,Volume,Variation
10.02.2014,"47710,82","48070,25","48135,89","47464,56","2,63M","-0,75%"
07.02.2014,"48073,6","47739,46","48253,16","47556,95","3,20M","0,70%"
06.02.2014,"47738,09","46987,52","48033,74","46632,17","3,63M","2,39%"
05.02.2014,"46624,39","46964,22","47148,43","46224,19","3,36M","-0,72%"
04.02.2014,"46964,22","46147,52","47131,61","46145,89","3,47M","1,77%"
03.02.2014,"46147,52","47622,76","47622,76","46109,45","3,62M","-3,13%"
31.01.2014,"47638,99","47233,71","47652,37","46813,69","3,72M","0,84%"
30.01.2014,"47244,26","47553,8","48034,03","47114,73","3,11M","-0,66%"
29.01.2014,"47556,78","47839,04","47884,07","47153,97","3,32M","-0,59%"
28.01.2014,"47840,93","47749,85","48487,51","47749,85","2,69M","0,29%"
27.01.2014,"47701,05","47781,54","48146,88","47492,69","2,94M","-0,18%"
24.01.2014,"47787,38","48325,32","48327,15","47493,97","3,54M","-1,10%"
23.01.2014,"48320,64","49293,58","49598,35","48320,64","3,88M","-1,99%"
22.01.2014,"49299,66","48542,99","49487,04","48542,99","3,87M","1,56%"
21.01.2014,"48542,07","48728,2","49123,53","48440,05","3,10M","-0,34%"
20.01.2014,"48708,41","49180,62","49292,2","48673,05","1,41M","-0,96%"
17.01.2014,"49181,86","49696,28","49868,22","49174,03","2,62M","-1,04%"
16.01.2014,"49696,28","50106,34","50577,38","49628,01","2,94M","-0,82%"
15.01.2014,"50105,37","49714,97","50229,75","49714,97","2,84M","0,81%"
14.01.2014,"49703,1","49421,07","49833,53","49263,11","2,89M","0,56%"
13.01.2014,"49426,9","49708,29","50003,23","49308,77","2,80M","-0,54%"
10.01.2014,"49696,45","49321,68","50145,37","49267,26","3,51M","0,76%"
09.01.2014,"49321,68","50575,78","50575,78","49258,63","3,70M","-2,48%"
08.01.2014,"50576,64","50431,23","50792,61","50423,58","2,92M","0,29%"
07.01.2014,"50430,02","50981,58","51477,81","50429,14","3,34M","-1,07%"
06.01.2014,"50973,62","50980,15","51002,29","50451,42","3,73M","-0,01%"
03.01.2014,"50981,09","50348,27","50981,09","50268,72","7,36M","1,27%"
02.01.2014,"50341,25","51522,19","51656,14","50246,3","3,48M","-2,26%"
30.12.2013,"51507,16","51274,46","51995,79","51274,46","2,05M","0,47%"
27.12.2013,"51266,56","51239,46","51395,28",51207,"2,00M","0,09%"
26.12.2013,"51221,01","51357,99","51609,85","51184,96","1,81M","-0,26%"
25.12.2013,"51356,1","51356,1","51356,1","51356,1",-,"0,00%"
24.12.2013,"51356,1","51356,1","51356,1","51356,1",-,"0,00%"
23.12.2013,"51356,1","51187,57","51604,98","51187,57","2,31M","0,33%"
20.12.2013,"51185,74","51619,6","51640,98","51024,65","3,72M","-0,87%"
19.12.2013,"51633,43","50577,86","51633,43","50577,86","2,96M","2,12%"
18.12.2013,"50563,43","50110,39","50869,31","50110,39","4,53M","0,94%"
17.12.2013,"50090,35","50279,25","50563,21","50049,08","2,68M","-0,38%"
16.12.2013,"50279,61","50048,67","50611,49","50048,67","2,80M","0,46%"
13.12.2013,"50051,18","50133,03","50518,64","50006,11","2,88M","-0,14%"
